bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
BANSAL INFRATECH SYNERGIES INDIA LIMITED,"[{'S.no': '1', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'R020', 'Vendor_name': 'RSB PROJECTS  LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'S021', 'Vendor_name': 'BANSAL INFRATECH SYNERGIES INDIA LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",873265983.87 INR,15-12-2021,CIVIL/STRUCTURAL WORKSFOR PP UNIT,24-11-2021,SM/B297-201-CI-T-8106/1012,13-APR-2022
JAGDISH V PAI ENGINEERS AND CONTRACTOR,"[{'S.no': '1', 'Vendor_code': '57712', 'Vendor_name': 'JANAKI CONSTRUCTION', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '57713', 'Vendor_name': 'S R CONSTRUCTIONS', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57716', 'Vendor_name': 'ATHARVA ASSOCIATES', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': '57717', 'Vendor_name': 'JAGDISH V PAI ENGINEERS AND CONTRACTOR', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57719', 'Vendor_name': 'DHARANI PROJECT SERVICES', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",8268037 INR,02-02-2022,"BARRICADING WORKS FOR BBU UNITFOR BS VI PROJECTS, MRPL",12-01-2022,AS/B038-413-CD-T-8122/1029,23-MAR-2022
UNITED INDIA INSURANCE COMPANY LTD.,"[{'S.no': '1', 'Vendor_code': 'B522', 'Vendor_name': 'BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'I513', 'Vendor_name': 'ICICI LOMBARD GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'N508', 'Vendor_name': 'NEW INDIA ASSURANCE COMPANY LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R515', 'Vendor_name': 'RELIANCE GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T517', 'Vendor_name': 'TATA AIG GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': 'U505', 'Vendor_name': 'UNITED INDIA INSURANCE COMPANY LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '~29S', 'Vendor_name': 'National Insurance Co. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '~A53', 'Vendor_name': 'HDFC ERGO General Insurance Co. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",6147819.41 INR,04-03-2022,Insurance Tender 2022-2023,12-02-2022,LT/8590-000-SE-T-0496/170,29-MAR-2022
BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD.,"[{'S.no': '1', 'Vendor_code': 'B522', 'Vendor_name': 'BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'I513', 'Vendor_name': 'ICICI LOMBARD GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'N508', 'Vendor_name': 'NEW INDIA ASSURANCE COMPANY LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R515', 'Vendor_name': 'RELIANCE GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T517', 'Vendor_name': 'TATA AIG GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': 'U505', 'Vendor_name': 'UNITED INDIA INSURANCE COMPANY LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '~29S', 'Vendor_name': 'National Insurance Co. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '~A53', 'Vendor_name': 'HDFC ERGO General Insurance Co. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",478000 INR,04-03-2022,Insurance Tender 2022-2023,12-02-2022,LT/8590-000-SE-T-0496/170,29-MAR-2022
RELIANCE GENERAL INSURANCE CO. LTD.,"[{'S.no': '1', 'Vendor_code': 'B522', 'Vendor_name': 'BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'I513', 'Vendor_name': 'ICICI LOMBARD GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'N508', 'Vendor_name': 'NEW INDIA ASSURANCE COMPANY LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'R515', 'Vendor_name': 'RELIANCE GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T517', 'Vendor_name': 'TATA AIG GENERAL INSURANCE CO. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': 'U505', 'Vendor_name': 'UNITED INDIA INSURANCE COMPANY LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '~29S', 'Vendor_name': 'National Insurance Co. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '~A53', 'Vendor_name': 'HDFC ERGO General Insurance Co. Ltd.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",3295603.25 INR,04-03-2022,Insurance Tender 2022-2023,12-02-2022,LT/8590-000-SE-T-0496/170,29-MAR-2022
J.P. Test  and Research Centre,"[{'S.no': '1', 'Vendor_code': 'I025', 'Vendor_name': 'Idma Laboratories Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'J009', 'Vendor_name': 'J.P. Test  and Research Centre', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'M041', 'Vendor_name': 'MANTEC CONSULTANTS PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'M064', 'Vendor_name': 'MIN MEC CONSULTANCY PVT. LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '5', 'Vendor_code': 'N046', 'Vendor_name': 'NETEL INDIA LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'V034', 'Vendor_name': 'VARDAN ENVIROLAB', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",487469 INR,21-03-2022,Baseline Data CollectionAlumina Ref. & Smelter Plant,08-03-2022,AS/B526-000-PN-T-8726/1001,05-APR-2022
MASCOT VALVES PVT LIMITED (FMLY VALFLO),"[{'S.no': '1', 'Vendor_code': 'C032', 'Vendor_name': 'CONTINENTAL VALVE LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'E179A', 'Vendor_name': 'EMERSON PROCESS MANGMNT CHENNAI PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'I172', 'Vendor_name': 'INSTRUMENTATION LTD. (PALGHAT)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'K179A', 'Vendor_name': 'KOSO INDIA PVT LTD (FORM.K176)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'M015', 'Vendor_name': 'MASCOT VALVES PVT LIMITED (FMLY VALFLO)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'M055', 'Vendor_name': 'KSB MIL CONTROLS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'S023', 'Vendor_name': 'SEVERN GLOCON VALVES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'S442', 'Vendor_name': 'SAMSON CONTROLS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",8681311.85 INR,28-09-2021,Control Valves,26-08-2021,B390-000-YC-MR-1330/20,27-APR-2022
PS Construction   Pvt. Ltd.,"[{'S.no': '1', 'Vendor_code': '57843', 'Vendor_name': 'PS Construction   Pvt. Ltd.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B017', 'Vendor_name': 'BRIDGE AND ROOF COMPANY (INDIA) LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '~9CR', 'Vendor_name': 'Banu Constructions', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",30143004.51 INR,25-03-2022,PAVEMENT & OTHER BALANCE CIVIL/STRL WORKS,11-03-2022,JP/A927-000-CF-TN-8001/1022,21-APR-2022
SWAN ENTERPRISES PVT LTD,"[{'S.no': '1', 'Vendor_code': 'K030', 'Vendor_name': 'MUNTERS INDIA HUMIDITY CONTROL PRIVATE L', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'K041', 'Vendor_name': 'KAMAL ENCON INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'S211', 'Vendor_name': 'SULZER INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'S300', 'Vendor_name': 'SWAN ENTERPRISES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",8339369 INR,02-12-2021,COLUMN TRAYS (VALVE/SIEVEEIL ENGINEERED,11-11-2021,B390-000-CT-MR-6800/34,05-APR-2022
KAMAL ENCON INDUSTRIES LIMITED,"[{'S.no': '1', 'Vendor_code': 'K030', 'Vendor_name': 'MUNTERS INDIA HUMIDITY CONTROL PRIVATE L', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'K041', 'Vendor_name': 'KAMAL ENCON INDUSTRIES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'S211', 'Vendor_name': 'SULZER INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'S300', 'Vendor_name': 'SWAN ENTERPRISES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",12819154 INR,02-12-2021,COLUMN TRAYS (VALVE/SIEVEEIL ENGINEERED,11-11-2021,B390-000-CT-MR-6800/34,05-APR-2022
