bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
M/s. Venkataramanan Associates,"[{'S.no': '1', 'Vendor_code': '~45L', 'Vendor_name': 'CP KUKREJA ARCHITECTS', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '~74M', 'Vendor_name': 'M/s. Venkataramanan Associates', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",84000000 INR,21-07-2022,ARCHITECTURAL & ENGINEERINGCONSULTANCY FOR CRITICAL IT,05-07-2022,RC/B571-000-SE-T-8200/1001,17-AUG-2022
PERAMOUNT FORGE AND FITTINGS PRIVATE LIM,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3747', 'Vendor_name': 'SIDDARTH AND GAUTAM ENGINEERS PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3913', 'Vendor_name': 'PERAMOUNT FORGE AND FITTINGS PRIVATE LIM', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3992', 'Vendor_name': 'SIVANANDHA PIPE FITTINGS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '11', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",1613915 INR,19-04-2022,FITTINGS-CS,05-04-2022,B269-000-WD-MR-3023/97,25-JUL-2022
SAWAN ENGINEERS PVT LTD,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3747', 'Vendor_name': 'SIDDARTH AND GAUTAM ENGINEERS PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3913', 'Vendor_name': 'PERAMOUNT FORGE AND FITTINGS PRIVATE LIM', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3992', 'Vendor_name': 'SIVANANDHA PIPE FITTINGS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '11', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",378385 INR,19-04-2022,FITTINGS-CS,05-04-2022,B269-000-WD-MR-3023/97,25-JUL-2022
M.S. FITTINGS MFG. CO PVT LTD,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3747', 'Vendor_name': 'SIDDARTH AND GAUTAM ENGINEERS PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3913', 'Vendor_name': 'PERAMOUNT FORGE AND FITTINGS PRIVATE LIM', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3992', 'Vendor_name': 'SIVANANDHA PIPE FITTINGS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '11', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",465838 INR,19-04-2022,FITTINGS-CS,05-04-2022,B269-000-WD-MR-3023/97,25-JUL-2022
SIDDARTH AND GAUTAM ENGINEERS PVT. LTD.,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3747', 'Vendor_name': 'SIDDARTH AND GAUTAM ENGINEERS PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3913', 'Vendor_name': 'PERAMOUNT FORGE AND FITTINGS PRIVATE LIM', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3992', 'Vendor_name': 'SIVANANDHA PIPE FITTINGS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '11', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",392725 INR,19-04-2022,FITTINGS-CS,05-04-2022,B269-000-WD-MR-3023/97,25-JUL-2022
TOPAZ PIPING INDUSTRIES,"[{'S.no': '1', 'Vendor_code': '3637', 'Vendor_name': 'FITTECH INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3719', 'Vendor_name': 'VAIBHAV FITTING INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3747', 'Vendor_name': 'SIDDARTH AND GAUTAM ENGINEERS PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3913', 'Vendor_name': 'PERAMOUNT FORGE AND FITTINGS PRIVATE LIM', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3949', 'Vendor_name': 'DEE DEVELOPMENT ENGINEERS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3970', 'Vendor_name': 'SKY FORGE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3992', 'Vendor_name': 'SIVANANDHA PIPE FITTINGS LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3996', 'Vendor_name': 'KISAAN TECHNO FORGE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'C209', 'Vendor_name': 'CSA FITTINGS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'E060', 'Vendor_name': 'EBY FASTENERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '11', 'Vendor_code': 'G125', 'Vendor_name': 'GUJARAT INFRAPIPES PVT. LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'M057', 'Vendor_name': 'M.S. FITTINGS MFG. CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'P315', 'Vendor_name': 'P.K.TUBES & FITTINGS PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S102', 'Vendor_name': 'SAWAN ENGINEERS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'T221', 'Vendor_name': 'TOPAZ PIPING INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",615092 INR,19-04-2022,FITTINGS-CS,05-04-2022,B269-000-WD-MR-3023/97,25-JUL-2022
CD INDUSTRIES (PROP KISAAN ENGINEERING W,"[{'S.no': '1', 'Vendor_code': '3617', 'Vendor_name': 'BRITEX ENGINEERING WORKS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': 'C159', 'Vendor_name': 'CD INDUSTRIES (PROP KISAAN ENGINEERING W', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'G182', 'Vendor_name': 'GOODLUCK INDIA LIMITED (UNIT: GOODLUCK E', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'T245', 'Vendor_name': 'TRIVENI REFRACTORIES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'U116', 'Vendor_name': 'UTSAH ENGINEERING PVT LTD(A CD ENGG COMP', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",15980584 INR,18-04-2022,FLANGES- CS ( EPOXY COATED),04-04-2022,B269-000-WC-MR-3028/100,05-JUL-2022
GLOBAL SEAMLESS TUBES AND PIPES PRIVATE,"[{'S.no': '1', 'Vendor_code': '3609', 'Vendor_name': 'SHIB DASS AND SONS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3649', 'Vendor_name': 'DIVINE TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3685', 'Vendor_name': 'HEAVY METAL & TUBES (INDIA) PRIVATE LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': '3720', 'Vendor_name': 'KWALITY TUBES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3743', 'Vendor_name': 'VINAYAK PIPES AND TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3811', 'Vendor_name': 'BHARAT ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3878', 'Vendor_name': 'SUPERIOR STEEL INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3980', 'Vendor_name': 'GLOBAL SEAMLESS TUBES AND PIPES PRIVATE', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'E214', 'Vendor_name': 'EVERGREEN SEAMLESS PIPES & TUBES PVT. LT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'J110B', 'Vendor_name': 'JINDAL SAW LTD (NASHIK WORKS)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'J152', 'Vendor_name': 'JR SEAMLESS PVT.LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'K186', 'Vendor_name': 'KRYSTAL GLOBAL ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'M187', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S202', 'Vendor_name': 'SHUBHLAXMI METALS AND TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",4314231 INR,25-03-2022,PIPES (SEAMLESS),05-03-2022,B440-003-WA-MR-3010/5,24-MAY-2022
MAHARASHTRA SEAMLESS LTD.,"[{'S.no': '1', 'Vendor_code': '3609', 'Vendor_name': 'SHIB DASS AND SONS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3649', 'Vendor_name': 'DIVINE TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3685', 'Vendor_name': 'HEAVY METAL & TUBES (INDIA) PRIVATE LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': '3720', 'Vendor_name': 'KWALITY TUBES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3743', 'Vendor_name': 'VINAYAK PIPES AND TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3811', 'Vendor_name': 'BHARAT ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3878', 'Vendor_name': 'SUPERIOR STEEL INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3980', 'Vendor_name': 'GLOBAL SEAMLESS TUBES AND PIPES PRIVATE', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'E214', 'Vendor_name': 'EVERGREEN SEAMLESS PIPES & TUBES PVT. LT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'J110B', 'Vendor_name': 'JINDAL SAW LTD (NASHIK WORKS)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'J152', 'Vendor_name': 'JR SEAMLESS PVT.LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'K186', 'Vendor_name': 'KRYSTAL GLOBAL ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'M187', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S202', 'Vendor_name': 'SHUBHLAXMI METALS AND TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",23251834.6 INR,25-03-2022,PIPES (SEAMLESS),05-03-2022,B440-003-WA-MR-3010/5,24-MAY-2022
KWALITY TUBES,"[{'S.no': '1', 'Vendor_code': '3609', 'Vendor_name': 'SHIB DASS AND SONS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3649', 'Vendor_name': 'DIVINE TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3685', 'Vendor_name': 'HEAVY METAL & TUBES (INDIA) PRIVATE LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': '3720', 'Vendor_name': 'KWALITY TUBES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3743', 'Vendor_name': 'VINAYAK PIPES AND TUBES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3811', 'Vendor_name': 'BHARAT ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3878', 'Vendor_name': 'SUPERIOR STEEL INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3980', 'Vendor_name': 'GLOBAL SEAMLESS TUBES AND PIPES PRIVATE', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': 'E214', 'Vendor_name': 'EVERGREEN SEAMLESS PIPES & TUBES PVT. LT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'J110B', 'Vendor_name': 'JINDAL SAW LTD (NASHIK WORKS)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'J152', 'Vendor_name': 'JR SEAMLESS PVT.LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'K186', 'Vendor_name': 'KRYSTAL GLOBAL ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'M187', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'S202', 'Vendor_name': 'SHUBHLAXMI METALS AND TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",1849536 INR,25-03-2022,PIPES (SEAMLESS),05-03-2022,B440-003-WA-MR-3010/5,24-MAY-2022
